,TP9,AF7,AF8,TP10,subj,ses,Performance,Time (sec),Signal Drop,affective_trust,cognitive_trust,affecttrust_corr,cognitivetrust_corr
0,0.008845750669679924,-0.06782782914495636,-0.06039071935676025,0.018448419239233883,1,1,2.0,494.0,1.0,2.2,3.25,0.157242725508288,-0.0877058019307029
2,-0.12063840107316595,0.2730826380259794,0.04608770284948041,-0.11953041755208686,1,3,3.0,208.0,1.0,2.6,3.4166666666666665,-0.594942206400108,0.282038037408883
5,-0.028521224405586444,-0.03357516605316997,0.029366748678573286,0.011841816479408756,3,2,7.0,294.0,0.0,2.6,4.0,0.583333333333333,0.316227766016838
6,-0.01401787973645564,0.037111745078669586,-0.03419481372230456,-0.024576102046292226,3,3,7.0,262.0,0.0,3.2,4.0,0.589767824619589,0.8
10,-0.0005630871638663955,0.07933332557989155,0.0037653776494719227,-0.003713259576535782,7,3,0.0,560.0,0.0,3.4,3.6666666666666665,0.25,0.553911709406997
17,0.036670947769107405,-0.043678653689412594,0.0766011427042576,-0.012067816864874757,17,1,6.0,652.0,1.0,3.5,3.75,0.0,0.956182887467515
21,0.02595862408365485,-0.02627689339664509,-0.016872868430797047,0.02388354360251498,21,2,3.0,266.0,0.0,3.8,3.9166666666666665,0.0,0.907959384500452
24,0.016564264516172912,0.019554036628901476,0.00920050364825098,0.023380705036085313,24,3,7.0,356.0,1.0,2.7,3.25,0.666666666666667,0.117647058823529
28,0.069239773266969,-0.03950958104447439,0.0017530893142597766,0.002562314361165482,28,1,7.0,424.0,0.0,3.2,3.4166666666666665,-0.395284707521047,0.682288239221013
29,-0.01905551417398409,0.08258050597020782,0.07246618392119548,0.00972393680030805,28,2,5.0,305.0,0.0,3.4,3.8333333333333335,0.166666666666667,0.530330085889911
30,-0.022122463181248435,-0.11710579513544471,-0.14327593889147858,-0.09130017620247646,28,3,7.0,274.0,0.0,3.6,4.166666666666667,0.102062072615966,-0.317073170731707
31,0.0225794615463498,0.07368661858966895,-0.19677895469544596,-0.12202549019890309,29,1,7.0,510.0,1.0,4.2,4.166666666666667,0.534522483824849,0.75
35,-0.035750955791509074,0.043552709612926906,0.0981782545066123,-0.06716140716423015,31,1,6.0,275.0,0.0,1.8,3.6666666666666665,0.763762615825973,0.0
36,-0.04240853938131112,-0.02246497888672928,-0.030198054842532643,0.05068361734396875,31,2,6.0,265.0,0.0,2.6,3.0,-0.408248290463863,-0.675724628517346
39,0.04072303716259914,-0.1824817913982302,-0.08412410783510105,0.04472721867391485,32,2,5.0,273.0,0.0,3.2,4.0,-0.25,-0.600245047998781
42,0.14841317559114292,0.10870587509286664,0.06206148357627644,0.07168635957020246,33,3,2.0,0.0,1.0,4.2,4.166666666666667,0.534522483824849,0.774596669241483
43,0.020342606252011845,-0.018604717816588186,-0.045895287455290965,0.030983410891776413,34,1,0.0,411.0,1.0,3.3,3.8333333333333335,-0.219264504826757,0.176776695296637
44,-0.1021578135674287,0.2202777505215181,0.012398533639889816,-0.34709809833054334,35,1,9.0,1002.0,1.0,2.9,3.4545454545454546,-0.272165526975909,-0.469668218313862
45,-0.01093201428990148,0.05585989537849777,0.15994999359512513,0.003812811896110735,35,2,11.0,694.0,0.0,2.9,3.6666666666666665,0.166666666666667,0.730798148647035
47,0.033077215064665,0.09411201392303035,-0.026748421017736057,-0.019138861118524222,36,1,4.0,406.0,1.0,1.7,2.6666666666666665,0.0,0.647058823529412
48,-0.04845699127964845,0.07165214010082026,-0.005285659807188236,-0.027172764839044183,36,2,5.0,328.0,0.0,2.0,2.9166666666666665,-0.5,0.108465228909328
49,0.0002586606481475239,0.0029368976088120467,-0.02435800117763425,-0.028930484490750006,37,1,4.0,416.0,0.0,3.6,4.083333333333333,0.845154254728516,0.787838597158335
50,-0.07497144186060153,0.032964846821397796,0.0638974878832865,0.00012515935574418393,37,2,2.0,358.0,0.0,3.5,3.9166666666666665,0.25,0.753410574956818
51,-0.007134328197463561,0.059127715095510486,0.014583634471263884,-0.014665890192718542,37,3,2.0,329.0,0.0,3.3,3.9166666666666665,-0.218217890235992,0.977802414077409
52,0.04017708036318039,-0.20838847598385413,0.022826702880587038,0.10026215046692484,38,1,0.0,360.0,1.0,3.3333333333333335,3.5,-0.707106781186547,0.5
53,-0.007602710508273195,-0.03530716965877916,-0.04069428571540688,0.08751936406241162,38,2,3.0,298.0,1.0,3.3,3.1818181818181817,0.666666666666667,0.0
54,-0.025101723899905604,-0.023316934914727003,0.011488216771447986,0.020515558307230633,38,3,7.0,240.0,0.0,3.9,3.6666666666666665,-0.666666666666667,-0.121566134770966
56,0.0590764406038755,0.0355798428880116,-0.174903482267453,-0.03962356320998117,40,2,8.0,290.0,1.0,4.3,4.5,-0.133630620956212,1.0
57,-0.017644907974232987,0.05636649456979137,-0.036385959132619536,0.010742600449582852,40,3,7.0,271.0,0.0,4.4,4.416666666666667,-0.612372435695794,1.0
60,0.020997531933401172,0.013501487120160029,0.04415140789450421,0.006933215817959802,42,1,4.0,491.0,0.0,3.3,3.5,0.408248290463863,-0.5
63,-0.0571214861402361,-0.017049181987282003,-0.0814340962951018,-0.03989150148677609,43,1,10.0,468.0,0.0,4.8,4.333333333333333,-0.25,0.943879807448539
66,0.05917509573283496,-0.023608186744769603,-0.0025701283440659347,-0.03541921931847142,45,1,3.0,402.0,0.0,4.2,4.166666666666667,-0.408248290463863,0.94299033358289
71,0.10105077050454067,0.21268347061061707,-0.08578319741094663,0.10361288113672183,48,1,11.0,704.0,1.0,3.7,3.9166666666666665,-0.583333333333333,-0.29277002188456
72,-0.07412332889543533,0.03690509186329796,0.0911805052778412,0.024957578417477568,48,2,8.0,333.0,0.0,3.8,4.166666666666667,0.612372435695795,0.254823595718813
76,-0.0037787961253280375,-0.022623624940937812,-0.03391088625631278,-0.00023567243955672598,49,3,1.0,272.0,1.0,4.1,4.5,-0.327326835353989,0.333333333333333
77,-0.03273089577745922,-0.024413248654023074,-0.04580903411879367,-0.01301521866938894,50,2,5.0,288.0,0.0,3.1,4.333333333333333,-0.298807152333598,0.29277002188456
78,0.01003653540591743,0.07755282050322578,0.058375264738371874,-0.003802691439247245,50,3,3.0,274.0,0.0,2.9,4.25,0.102062072615966,0.54232614454664
80,0.061377599960364015,0.04495061110948731,0.029614559405784998,0.010155992323865083,53,2,11.0,319.0,0.0,4.0,4.083333333333333,0.25,0.316227766016838
81,-0.039468752305894014,0.24566560381569777,-0.12025852985907325,0.13245000634946322,53,3,10.0,298.0,0.0,4.1,3.5833333333333335,0.408248290463863,0.61394061351492
83,-0.018783739607871074,0.00015779936567526136,0.034344208174162755,-0.06767127941401244,54,2,6.0,546.0,1.0,4.5,4.416666666666667,0.25,0.0
84,0.08768378264306585,-0.04460812995133411,-0.011147171661990234,0.10613841715237461,54,3,7.0,239.0,0.0,4.5,4.166666666666667,-1.0,-0.468521285665818
87,-0.05784525005970944,0.09446913544717069,0.015243420995897271,-0.010497776481755578,58,1,4.0,528.0,0.0,3.2,4.0,-0.790569415042095,-0.478091443733757
88,0.03048497555491222,0.010562446204476203,0.12536747050618877,-0.029102845815353093,58,2,3.0,264.0,0.0,4.2,4.25,0.612372435695795,0.0
90,0.01869245771623532,-0.3173687751842901,-0.36866525497847114,0.13281694044224215,59,1,9.0,377.0,1.0,4.2,4.333333333333333,0.612372435695795,0.793884186037445
93,-0.034939076753665706,-0.19959365787780045,-0.10720299462975325,0.09008582120976875,63,2,5.0,430.0,0.0,3.5,4.166666666666667,-0.166666666666667,0.0857492925712544
96,-0.011019093976430963,-0.0038901512434990028,0.05710650041514476,0.06697526121074335,66,2,11.0,665.0,1.0,4.6,4.25,0.875,0.941763218696022
98,-0.05690982347915031,0.08845847901821141,-0.01669538374542287,-0.009124253070278648,67,1,11.0,553.0,1.0,4.2,4.25,0.560112033611204,0.759256602365297
99,0.08426089308259282,0.2977963703605477,0.048432395893763504,-0.011193757299648615,67,2,11.0,240.0,0.0,4.3,4.166666666666667,0.77174363314129,0.774596669241483
103,0.06180858955713597,-0.1614856043138704,0.1904794097271134,-0.1255821301803031,71,1,5.0,362.0,1.0,3.7,4.083333333333333,-0.25,0.911684611677103
104,-0.04503361078408474,-0.2674795931622781,0.021163342369900896,-0.0450105554248586,73,2,7.0,318.0,0.0,4.1,3.9166666666666665,-0.327326835353989,0.877058019307029
105,0.010858912337167487,-0.024059031280631797,0.1303578287730215,0.07282169062433834,73,3,7.0,225.0,0.0,4.2,4.25,-0.408248290463863,0.968329663731489
106,0.021838784191950445,-0.02516277881082096,0.08611832454070607,0.0407113768859936,74,1,2.0,596.0,0.0,3.1,4.083333333333333,-0.559016994374947,0.297044262893002
107,-0.03896707125746754,0.025978348264326153,0.04279480097562796,-0.0182469177030575,74,2,3.0,746.0,1.0,2.9,3.9166666666666665,0.0,0.0
108,-0.3865323786188793,-0.48648945185248277,-0.46155580986746125,-0.3057617947708975,74,3,0.0,397.0,0.0,3.1,4.166666666666667,-0.612372435695795,0.557086014531156
109,0.05891648305340957,0.04992521485784374,-0.02131824745004626,0.0786282267923259,75,1,9.0,417.0,0.0,4.0,4.083333333333333,-0.218217890235992,0.857492925712544
110,-0.036737573722542355,-0.10703164358851817,0.0033936934596138033,0.03598105869301063,75,3,10.0,201.0,0.0,4.6,4.583333333333333,0.408248290463863,1.0
111,0.030028538149548797,0.056040684818753184,0.013393668764776599,-0.11982647196406834,77,1,10.0,756.0,1.0,2.4,3.8333333333333335,-0.25,0.363803437554499
112,-0.008621778548503774,-0.04412968880833048,-0.07224831505786002,-0.0488653276647019,77,2,11.0,591.0,0.0,2.4,4.166666666666667,0.166666666666667,1.0
117,0.015226158933350643,0.030795286488834332,0.010509768819800043,0.01785447210577172,81,1,1.0,721.0,1.0,3.6,3.0833333333333335,0.686406472983644,0.0
118,0.030221555959936478,-0.0202655809752087,0.027743305455771333,-0.018182577709417575,81,2,7.0,485.0,0.0,3.9,3.3333333333333335,0.0,0.649519052838329
119,-0.01884429011186427,-0.02501530817426145,-0.16904519488794228,-0.07579564716347979,82,1,9.0,387.0,1.0,2.5,3.6666666666666665,-0.534522483824849,0.661437827766148
120,0.030042995635869253,0.0038921515721163998,0.062428928416244485,-0.07419313170574225,83,1,1.0,451.0,1.0,3.7,3.75,0.645497224367903,-0.685994340570035
121,-0.02246108535113111,0.02731460333214954,-0.007616319850418373,0.010884427255516428,83,2,8.0,327.0,1.0,3.6,3.5833333333333335,0.790569415042095,-0.269679944985297
122,0.007295197676100528,0.005607736461050582,0.05790237282029904,0.010922905794706,84,1,1.0,444.0,0.0,3.3,4.0,0.0,0.108465228909328
123,0.03772298748471779,0.01990883025284938,-0.16644160255201665,0.009025011349236825,86,1,3.0,417.0,1.0,3.9,4.25,0.880704845927979,0.349215147884789
125,0.0667641820152068,0.018337868485409227,-0.007395067748627453,0.027925486593679234,87,1,0.0,498.0,1.0,3.2,3.3333333333333335,0.592927061281571,0.894427190999916
129,0.007525095703982212,0.006385925269968619,0.11116742974626917,-0.07658415676732284,89,1,5.0,484.0,1.0,3.9,4.166666666666667,0.0,0.316227766016838
136,-0.14495123458631978,-0.1735230300575561,-0.12886753824100974,0.024408659825598054,92,1,1.0,372.0,1.0,3.5,3.5,-0.534522483824849,-0.54232614454664
138,0.026357455865660826,0.34936275902159153,0.08482691439529379,-0.09217626572389707,93,1,4.0,472.0,1.0,3.5,4.25,-0.534522483824849,0.54232614454664
139,-0.08255031787718305,-0.1181786962868294,0.07246306670690215,-0.10654732251007065,93,3,2.0,218.0,0.0,3.5,3.5833333333333335,0.25,-0.2
142,0.09333044105241906,-0.016181488008482035,0.049433959284656076,-0.0032016414197304117,95,1,5.0,405.0,0.0,3.4,2.9166666666666665,-0.327326835353989,-0.321633760451338
143,-0.013986653988700309,-0.23126046431822922,0.05419911474840007,-0.15670002981982661,96,1,1.0,302.0,1.0,3.1,4.166666666666667,-0.320256307610174,-0.25
144,-0.0026975680725280136,0.06528841345349433,-0.04279907811934196,0.0002099806610166284,96,2,8.0,379.0,1.0,2.8,4.0,0.612372435695795,0.2
145,0.0034361896748064495,-0.06998678176288371,-0.09844432186161643,-0.015578157377875065,96,3,7.0,279.0,0.0,3.0,4.166666666666667,0.666666666666667,0.632455532033676
146,0.20022226422231368,0.004981624012092986,-0.03714680168273074,0.2725889043034547,97,1,11.0,822.0,1.0,3.3,3.75,0.490098029409803,0.755928946018454
147,-0.023114452067113718,0.0336004895960988,0.020419941173271245,-0.005531456547518664,97,3,11.0,323.0,0.0,4.5,4.083333333333333,0.408248290463863,0.797724035217466
148,-0.007930951048654123,0.028625487624538575,0.026648426081186016,-0.012776450438816707,98,1,5.0,455.0,1.0,2.8,3.8333333333333335,-0.218217890235992,0.0
149,-0.011268690212602609,-0.04636981544945686,-0.03946990078276811,-0.017374534267533926,98,2,6.0,700.0,1.0,3.3,4.0,0.612372435695795,0.654653670707977
152,0.08956223837052074,-0.05630668971758694,-0.16145769337503602,-0.024388608521087183,99,3,6.0,333.0,0.0,2.8,3.8333333333333335,-0.408248290463863,-0.447213595499958
153,0.017824083132758916,0.012986397921383962,-0.03531029298642539,0.01727772804636464,100,1,4.0,876.0,0.0,3.1,3.9166666666666665,-0.559016994374947,0.373001923296126
154,0.085309952248505,0.032271306397114376,0.06518828822759645,0.040503732708784226,100,2,4.0,497.0,1.0,3.5,3.9166666666666665,0.0714285714285715,0.920157538397846
155,0.001392283905374629,0.12046207992098075,0.26860994837032565,0.04564714477905807,101,1,2.0,292.0,1.0,3.0,3.3333333333333335,0.408248290463863,0.372104203767625
159,0.021215341958097673,0.005910921702687037,0.014671655110787881,0.03869973345333068,103,1,10.0,564.0,1.0,4.5,4.166666666666667,0.25,0.647058823529412
163,-0.0037902311378725287,0.0010353016570969586,-0.0050547508461169935,0.007770543871675303,106,1,9.0,515.0,1.0,3.2,2.8333333333333335,-0.327326835353989,0.175411603861406
164,-0.03770361307238049,-0.012021717586362238,-0.021393742214212766,0.014572876266033189,106,2,7.0,389.0,0.0,2.8,3.8333333333333335,-0.559016994374947,-0.746202507244637
166,-0.0609166767738695,0.049292609415666926,-0.13473291465592627,0.1731084523282174,107,1,4.0,933.0,1.0,3.7,3.0833333333333335,0.612372435695795,-0.87831006565368
167,-0.02723855021244833,0.03557181125184082,0.001636252366579673,-0.0672064172943317,107,2,9.0,504.0,1.0,4.2,3.9166666666666665,-0.25,0.2
171,-0.025803648918318434,0.10034069219750577,-0.0592474875428571,-0.046344716647401515,110,1,5.0,791.0,1.0,3.9,4.166666666666667,0.790569415042095,0.447213595499958
172,-0.06392323205188262,-0.08773689119962826,-0.07819683660740331,-0.0496231932596506,110,2,3.0,606.0,0.0,3.8,4.083333333333333,-0.133630620956212,0.316227766016838
174,-0.03906291715838541,-0.040344055026425886,-0.016769610637590245,-0.000860923627112714,111,2,3.0,224.0,1.0,3.2,3.3333333333333335,0.666666666666667,0.426401432711221
175,0.050622984164589116,0.13021974512556952,-0.06897258932449536,0.008142194233795624,112,1,5.0,378.0,0.0,3.1,4.5,0.243975018237133,0.790569415042095
176,0.21952797924776818,0.12402283770501484,-0.07179223270064913,-0.01636462542707846,112,2,8.0,299.0,0.0,3.8,4.166666666666667,0.645497224367903,0.635708491746199
177,-0.36887036988138,-0.1304192533558286,-0.12357444205408961,-0.14929448999771666,113,1,2.0,570.0,1.0,3.6,3.9166666666666665,0.612372435695795,-0.462910049886276
180,0.06006859136837765,-0.10375248644842419,-0.004191929553099156,0.021037331990324735,114,1,0.0,533.0,1.0,3.5,3.8333333333333335,-0.642857142857143,-0.29277002188456
181,0.13540012770807475,-0.1662179343465178,-0.059295504966623225,0.028957612416269887,114,2,0.0,206.0,0.0,3.7,3.6666666666666665,-0.25,0.349215147884789
182,0.023022421864622562,0.061270255962210064,0.08424827308015664,0.03830054666412571,114,3,2.0,298.0,0.0,4.1,3.75,-0.872871560943969,0.552157630374233
183,0.00290667039624839,0.042650733654593403,-0.0024732406631476343,0.01057425844325781,115,1,6.0,775.0,1.0,3.6,3.1666666666666665,0.166666666666667,0.447213595499958
184,0.010752415183734562,-0.023478364013149986,-0.005692033131327099,-0.006371495280077274,115,2,6.0,426.0,1.0,3.5,3.5,0.801783725737273,0.0
186,0.08949713599312638,0.12200808045421285,-0.07724612080577598,-0.1145638667527754,116,3,8.0,233.0,1.0,4.3,4.083333333333333,-0.133630620956212,0.969861226038888
187,0.010903225623993195,0.02177093933322237,0.025627873789566255,-0.00012122605472112842,117,1,11.0,699.0,1.0,4.6,4.083333333333333,0.166666666666667,0.632455532033676
190,-0.029516273884945186,-0.12575744014772325,0.03376833500107774,-0.009255506337720442,118,1,0.0,189.0,1.0,3.0,3.5,-1.0,-0.0790569415042095
191,-0.023634778683188976,-0.018354355418176524,-0.06784909240111932,0.004884525416222377,118,2,0.0,143.0,1.0,3.1,3.75,0.0,0.656532164298613
192,-0.018020715999719907,-0.010379971676066373,0.033627383638833976,-0.024216662578803047,118,3,4.0,419.0,1.0,3.1,3.6666666666666665,0.0,0.557086014531156
193,0.03295637734959746,-0.03256425953155184,-0.01869074709033821,-0.00979803079878007,119,1,2.0,316.0,1.0,3.4,3.5833333333333335,0.196116135138184,0.0
195,-0.025898022657799762,-0.09541523718443015,-0.044445072102223024,0.006882362905395941,119,3,2.0,408.0,0.0,3.4,3.6666666666666665,0.196116135138184,0.78086880944303
196,0.03841547840772776,0.01157320399242111,-0.03777725403179693,-0.021653067483747186,120,3,6.0,190.0,1.0,3.8,4.25,0.645497224367903,0.968329663731489
197,-0.024526275393526895,0.023714282968128875,0.019108753259515956,0.01506557778811162,121,1,4.0,393.0,0.0,3.2,3.25,0.279508497187474,0.52522573143889
