,TP9,AF7,AF8,TP10,subj,ses,Performance,Time (sec),Signal Drop,affective_trust,cognitive_trust,affecttrust_corr,cognitivetrust_corr
0,-0.03183724151368159,-0.004492498756605218,-0.08107547623267623,-0.04951435704118808,1,1,2.0,494.0,1.0,2.2,3.25,0.157242725508288,-0.0877058019307029
2,0.012911763881973376,0.01079611216215587,-0.07454817008625189,-0.07581134564717028,1,3,3.0,208.0,1.0,2.6,3.4166666666666665,-0.594942206400108,0.282038037408883
5,0.0010369806410478058,-0.04142244205556474,0.02088957844654664,-0.031952123650394834,3,2,7.0,294.0,0.0,2.6,4.0,0.583333333333333,0.316227766016838
6,-0.0013415307730561738,-0.008124810209275904,0.028620090606159693,-0.004543313659732307,3,3,7.0,262.0,0.0,3.2,4.0,0.589767824619589,0.8
10,0.0006668005446146739,0.04412827623956904,0.0074910398024314526,-0.00727239494942756,7,3,0.0,560.0,0.0,3.4,3.6666666666666665,0.25,0.553911709406997
15,-0.004154309453850587,-0.04698188525899315,0.01207860685210841,-0.000667692878241551,17,1,6.0,652.0,1.0,3.5,3.75,0.0,0.956182887467515
19,0.03488391773462596,0.06045764151697022,-0.15058919921047326,-0.006830024417203851,21,2,3.0,266.0,0.0,3.8,3.9166666666666665,0.0,0.907959384500452
25,-0.02660801579554206,0.17218727504773754,0.17386005741653138,0.01777939709353327,28,1,7.0,424.0,0.0,3.2,3.4166666666666665,-0.395284707521047,0.682288239221013
26,0.001436916772505394,-0.021922207761125478,0.039300263014547615,-0.031090712555813978,28,2,5.0,305.0,0.0,3.4,3.8333333333333335,0.166666666666667,0.530330085889911
27,0.05953619535913839,-0.06648833708707233,0.026278538590505617,0.058324107183716695,28,3,7.0,274.0,0.0,3.6,4.166666666666667,0.102062072615966,-0.317073170731707
28,-0.012493244227549842,0.11114829354079574,-0.06777758245383182,-0.008503197667670374,29,1,7.0,510.0,1.0,4.2,4.166666666666667,0.534522483824849,0.75
32,0.09740701398878354,0.11279082286711588,-0.09531684090139778,-0.11326992524791123,31,1,6.0,275.0,0.0,1.8,3.6666666666666665,0.763762615825973,0.0
