,TP9,AF7,AF8,TP10,subj,ses,Performance,Time (sec),Signal Drop,affective_trust,cognitive_trust,affecttrust_corr,cognitivetrust_corr
0,0.010514449859923874,-0.038813698442751024,-0.09106431540202889,-0.0003600533072476438,1,1,2.0,494.0,1.0,2.2,3.25,0.157242725508288,-0.0877058019307029
2,-0.23021717196300287,0.1929999280557935,0.09724332247629484,-0.15157102734519762,1,3,3.0,208.0,1.0,2.6,3.4166666666666665,-0.594942206400108,0.282038037408883
5,0.02448843960725071,0.12646368578166003,0.07289825622284891,0.048429794917846304,3,2,7.0,294.0,0.0,2.6,4.0,0.583333333333333,0.316227766016838
6,0.04568895352656299,0.013357398835608372,0.077790989445381,-0.03197479910623334,3,3,7.0,262.0,0.0,3.2,4.0,0.589767824619589,0.8
10,0.013416772235101406,0.00042079302336708315,0.0078400323346172,0.01934768213203314,7,3,0.0,560.0,0.0,3.4,3.6666666666666665,0.25,0.553911709406997
17,0.01982952779194385,-0.006903543296126843,0.0225005324922418,0.0063675210345965965,17,1,6.0,652.0,1.0,3.5,3.75,0.0,0.956182887467515
21,0.023192691887761897,0.051169685128543044,0.07264673917627584,0.04412020884134951,21,2,3.0,266.0,0.0,3.8,3.9166666666666665,0.0,0.907959384500452
24,-0.09050271666074122,0.09077871468478879,0.24241695442812058,-0.11117862114708367,24,3,7.0,356.0,1.0,2.7,3.25,0.666666666666667,0.117647058823529
28,-0.07696575461882528,0.05206692858285914,0.045261222393285866,-0.044136784149737825,28,1,7.0,424.0,0.0,3.2,3.4166666666666665,-0.395284707521047,0.682288239221013
29,0.011556024479233682,0.035416578229686836,0.07107994161723939,0.010083388791446138,28,2,5.0,305.0,0.0,3.4,3.8333333333333335,0.166666666666667,0.530330085889911
30,-0.0885619566087389,-0.13121920824774216,-0.012909856131845452,-0.08488467744998864,28,3,7.0,274.0,0.0,3.6,4.166666666666667,0.102062072615966,-0.317073170731707
31,-0.048870581130729625,-0.397153411360004,0.0548966800815679,0.08212047332058002,29,1,7.0,510.0,1.0,4.2,4.166666666666667,0.534522483824849,0.75
35,-0.06337365911675558,-0.00829381754870149,0.11278163843518707,0.020337115388464385,31,1,6.0,275.0,0.0,1.8,3.6666666666666665,0.763762615825973,0.0
