,TP9,AF7,AF8,TP10,subj,ses,Performance,Time (sec),Signal Drop,affective_trust,cognitive_trust,affecttrust_corr,cognitivetrust_corr
0,0.09899547643480976,0.08525753806039334,0.017861642316983874,-0.08395264180988252,1,1,2.0,494.0,1.0,2.2,3.25,0.157242725508288,-0.0877058019307029
4,0.08492564751311657,0.03438176440236641,-0.10159742353091733,-0.040261511075111854,3,2,7.0,294.0,0.0,2.6,4.0,0.583333333333333,0.316227766016838
5,0.03285063536488652,0.0414513872437301,-0.008640940955583671,-0.01442816470695305,3,3,7.0,262.0,0.0,3.2,4.0,0.589767824619589,0.8
9,0.030540937789278588,-0.03305821977964131,-0.0036561243756119102,0.025588642639552697,7,3,0.0,560.0,0.0,3.4,3.6666666666666665,0.25,0.553911709406997
14,0.01031506980070475,0.01532172216562424,0.0014223996131905309,0.003271089837141847,17,1,6.0,652.0,1.0,3.5,3.75,0.0,0.956182887467515
18,0.14022324847916853,-0.012049172275481385,0.12241048570271718,0.10794709802478608,21,2,3.0,266.0,0.0,3.8,3.9166666666666665,0.0,0.907959384500452
21,-0.0034887673999424978,-0.00819542929450211,-0.06029107097057971,-0.02023035873620094,24,3,7.0,356.0,1.0,2.7,3.25,0.666666666666667,0.117647058823529
25,0.01225719013164282,0.06048707603566489,0.18130034705598205,0.10042598535166852,28,1,7.0,424.0,0.0,3.2,3.4166666666666665,-0.395284707521047,0.682288239221013
26,0.013217235069026112,0.14370396422216355,0.05788477319288308,-0.026788820124202195,28,2,5.0,305.0,0.0,3.4,3.8333333333333335,0.166666666666667,0.530330085889911
27,-0.05167402568225159,0.14027648485092917,0.14590610509190666,0.08024096145681915,28,3,7.0,274.0,0.0,3.6,4.166666666666667,0.102062072615966,-0.317073170731707
28,0.011664871177369134,-0.026568683282032296,-0.007111511071259,-0.03967954547731738,29,1,7.0,510.0,1.0,4.2,4.166666666666667,0.534522483824849,0.75
