,TP9,AF7,AF8,TP10,subj,ses,Performance,Time (sec),Signal Drop,affective_trust,cognitive_trust,affecttrust_corr,cognitivetrust_corr
0,0.08735949402440259,0.1051945117201483,-0.035069445478287074,-0.10002177807162183,1,1,2.0,494.0,1.0,2.2,3.25,0.157242725508288,-0.0877058019307029
4,-0.02865539132772661,0.04750310680329245,0.0006971263869138926,-0.02791046891190681,3,2,7.0,294.0,0.0,2.6,4.0,0.583333333333333,0.316227766016838
5,0.04127136162919219,-0.024100482312743605,0.008698816585086047,-0.031171658342402174,3,3,7.0,262.0,0.0,3.2,4.0,0.589767824619589,0.8
9,0.007528644864639744,0.010896385089740413,0.02886300863326404,0.01745918166460152,7,3,0.0,560.0,0.0,3.4,3.6666666666666665,0.25,0.553911709406997
13,0.003980240724799324,-0.012915293277713612,-0.01887502613554017,-0.001776885908258703,17,1,6.0,652.0,1.0,3.5,3.75,0.0,0.956182887467515
17,-0.018688987076002597,-0.005008126386494473,0.11018006546931793,-0.013747243102251247,21,2,3.0,266.0,0.0,3.8,3.9166666666666665,0.0,0.907959384500452
20,0.004448480570293207,-0.07078080540416508,-0.08731200151525091,0.0005923370889269591,24,3,7.0,356.0,1.0,2.7,3.25,0.666666666666667,0.117647058823529
24,-0.044980473741630965,-0.010504270243756567,0.03782589833698897,-0.04242777810035123,28,1,7.0,424.0,0.0,3.2,3.4166666666666665,-0.395284707521047,0.682288239221013
25,0.07128302846085276,-0.0028772585482156263,0.0515303571970139,-0.08944467692020372,28,2,5.0,305.0,0.0,3.4,3.8333333333333335,0.166666666666667,0.530330085889911
26,0.06986975932907634,0.07567809856438906,-0.010622207326851105,0.0594485913937193,28,3,7.0,274.0,0.0,3.6,4.166666666666667,0.102062072615966,-0.317073170731707
27,-7.963415916851735e-05,-0.08150402526704296,-0.10600919634043211,0.012044852862224129,29,1,7.0,510.0,1.0,4.2,4.166666666666667,0.534522483824849,0.75
31,-0.008791128099170686,0.004259435770600701,0.011136117866039883,0.01158897634926701,31,1,6.0,275.0,0.0,1.8,3.6666666666666665,0.763762615825973,0.0
32,0.009450030257588459,0.06556655805574992,0.06389782188849409,-0.010321555037085515,31,2,6.0,265.0,0.0,2.6,3.0,-0.408248290463863,-0.675724628517346
35,0.02333242194430214,0.04312009353179798,0.030714166679202588,0.006381744294429441,32,2,5.0,273.0,0.0,3.2,4.0,-0.25,-0.600245047998781
38,-0.010184172133448348,-0.020407815450564696,-0.026391910690765488,0.0031402408233506553,33,3,2.0,0.0,1.0,4.2,4.166666666666667,0.534522483824849,0.774596669241483
39,0.02772229947643546,-0.02660398776681225,-0.0006209170046360773,0.07476523270344984,34,1,0.0,411.0,1.0,3.3,3.8333333333333335,-0.219264504826757,0.176776695296637
40,-0.02079391683749821,-0.07444986306369578,0.0013925271994783045,-0.002319600695627261,35,1,9.0,1002.0,1.0,2.9,3.4545454545454546,-0.272165526975909,-0.469668218313862
41,0.02958584050908062,0.00149526638795195,0.03095883914467046,-0.01046996272654157,35,2,11.0,694.0,0.0,2.9,3.6666666666666665,0.166666666666667,0.730798148647035
43,-0.03910268148343633,0.025865384517961817,0.029680681727288646,0.08089643231072065,36,1,4.0,406.0,1.0,1.7,2.6666666666666665,0.0,0.647058823529412
44,-0.0038607399612664525,0.01208828588504304,-0.006934250024226912,-0.003937416238660429,36,2,5.0,328.0,0.0,2.0,2.9166666666666665,-0.5,0.108465228909328
45,-0.0033050134277314053,-0.014990143344273926,-0.011375761665929239,-0.003156804319527415,37,1,4.0,416.0,0.0,3.6,4.083333333333333,0.845154254728516,0.787838597158335
46,0.01756818719159559,0.006046878093578203,0.028611755601451527,0.01708972113377815,37,2,2.0,358.0,0.0,3.5,3.9166666666666665,0.25,0.753410574956818
47,0.00691380971177853,0.0014514386932435366,-0.0066505794647308296,-0.0070538958839346045,37,3,2.0,329.0,0.0,3.3,3.9166666666666665,-0.218217890235992,0.977802414077409
48,-0.02072252455211461,-0.010783711887254407,0.03444178408245187,0.009140631222437854,38,1,0.0,360.0,1.0,3.3333333333333335,3.5,-0.707106781186547,0.5
49,0.0015639958074455148,0.007760812904920354,0.02124014869932797,-0.01955401577667079,38,2,3.0,298.0,1.0,3.3,3.1818181818181817,0.666666666666667,0.0
50,-0.005788828468433153,-0.004833043030287957,0.008268416769028637,0.028112691975958972,38,3,7.0,240.0,0.0,3.9,3.6666666666666665,-0.666666666666667,-0.121566134770966
54,0.008752994406921894,-0.01645369500451081,0.007581687333278505,0.004453571255185042,42,1,4.0,491.0,0.0,3.3,3.5,0.408248290463863,-0.5
57,0.023869319381509393,0.013683341641802887,0.026788061124411143,-0.0025405924742158124,43,1,10.0,468.0,0.0,4.8,4.333333333333333,-0.25,0.943879807448539
60,-0.04810052597350618,0.09422954558357192,0.12102797469586687,-0.060750817520448204,45,1,3.0,402.0,0.0,4.2,4.166666666666667,-0.408248290463863,0.94299033358289
66,-0.06368226641462654,-0.1437964471795562,0.11977136792106834,-0.0035583519674988805,48,1,11.0,704.0,1.0,3.7,3.9166666666666665,-0.583333333333333,-0.29277002188456
67,-0.007247089416015092,-0.025128261281828573,-0.014611534818571073,0.013399588432951791,48,2,8.0,333.0,0.0,3.8,4.166666666666667,0.612372435695795,0.254823595718813
71,0.025365172488988015,-0.021254300539080437,-0.009624805141520315,0.008218686559914637,49,3,1.0,272.0,1.0,4.1,4.5,-0.327326835353989,0.333333333333333
72,-0.06753889134996643,-0.00990531394669935,0.006859041037480107,-0.04455729279308397,50,2,5.0,288.0,0.0,3.1,4.333333333333333,-0.298807152333598,0.29277002188456
73,-0.013086756178822994,0.05066393587436252,0.08074956890320421,0.0010902949572242512,50,3,3.0,274.0,0.0,2.9,4.25,0.102062072615966,0.54232614454664
75,0.030482103491181953,0.04479266210208711,-0.03861456643974694,0.0406717706639698,53,2,11.0,319.0,0.0,4.0,4.083333333333333,0.25,0.316227766016838
76,0.020318696722207936,-0.7120545474149631,0.17934265578106176,-0.014668558612484162,53,3,10.0,298.0,0.0,4.1,3.5833333333333335,0.408248290463863,0.61394061351492
77,-0.016939707726727656,0.013762890811986438,0.037949549351766095,-0.0019545131476801873,54,2,6.0,546.0,1.0,4.5,4.416666666666667,0.25,0.0
78,0.047872302341398554,0.008149872816788042,0.02098137255995836,-0.04380305195187581,54,3,7.0,239.0,0.0,4.5,4.166666666666667,-1.0,-0.468521285665818
80,-0.01276869068465569,0.006844390838104668,-0.02433095069353556,9.030252279894445e-05,58,1,4.0,528.0,0.0,3.2,4.0,-0.790569415042095,-0.478091443733757
81,1.8769783799904195e-05,-0.002864062734338665,0.011425392992531548,-0.04386264851809167,58,2,3.0,264.0,0.0,4.2,4.25,0.612372435695795,0.0
86,0.07890854152515953,0.0004765137269604844,-0.01922596121895696,-0.002099543645340598,63,2,5.0,430.0,0.0,3.5,4.166666666666667,-0.166666666666667,0.0857492925712544
89,0.06745317777138132,0.1097414005015421,-0.22871803867640145,-0.10307541487652502,66,2,11.0,665.0,1.0,4.6,4.25,0.875,0.941763218696022
90,-0.0011394329316274264,0.03136829127929487,0.059955847290921974,0.00042934227628228154,67,1,11.0,553.0,1.0,4.2,4.25,0.560112033611204,0.759256602365297
91,-0.05252326364282201,0.0013716798378071717,0.21571332283588895,0.04049636275433237,67,2,11.0,240.0,0.0,4.3,4.166666666666667,0.77174363314129,0.774596669241483
