,"subj","ses","Performance","Time (sec)","Signal Drop"
115,103,3,6,154,0
116,104,1,7,249,1
117,104,2,7,194,0
118,104,3,8,149,0
119,105,1,7,643,1
120,105,2,5,577,1
121,105,3,7,659,0
122,106,1,9,515,1
123,106,2,7,389,0
124,106,3,7,450,0
125,107,1,4,933,1
126,107,2,9,504,1
127,107,3,6,573,0
128,108,1,6,670,0
129,108,2,7,578,1
130,108,3,4,454,1
131,110,1,5,791,1
132,110,2,3,606,0
133,110,3,5,436,0
134,111,1,8,411,0
135,111,2,3,224,1
136,111,3,10,167,1
137,112,1,5,378,0
138,112,2,8,299,0
139,112,3,7,239,0
140,113,1,2,570,1
141,113,2,1,577,0
142,113,3,0,338,1
143,114,1,0,533,1
144,114,2,0,206,0
145,114,3,2,298,0
146,115,1,6,775,1
147,115,2,6,426,1
148,115,3,5,358,0
149,116,1,2,404,1
150,116,2,4,144,1
151,116,3,8,233,1
152,117,1,11,699,1
153,117,2,9,571,1
154,117,3,7,259,0
155,118,1,0,189,1
156,118,2,0,143,1
157,118,3,4,419,1
158,119,1,2,316,1
159,119,2,2,291,1
160,119,3,2,408,0
161,120,1,8,685,0
162,120,2,9,261,1
163,120,3,6,190,1
164,121,1,4,393,0
165,121,2,9,423,0
166,121,3,9,298,0
167,122,2,7,589,1
168,122,3,7,258,0
169,123,3,10,664,1
170,125,1,7,600,1
171,125,2,4,627,1
172,125,3,6,601,1
173,126,1,5,555,1
174,126,2,5,558,0
175,127,1,3,228,1
176,127,2,1,297,1
177,127,3,4,204,0
178,128,2,8,504,1
179,128,3,8,283,0
180,129,1,6,357,1
181,129,2,3,269,1
182,129,3,7,316,0
183,130,1,3,728,1
184,130,2,7,424,0
185,130,3,11,323,0
186,131,1,7,530,1
187,131,3,4,234,0
188,133,1,5,282,1
189,133,3,6,140,1
190,134,1,7,464,1
191,134,2,5,322,1
192,134,3,7,238,0
193,135,1,5,1062,1
194,135,2,8,336,0
195,135,3,4,165,1
196,136,1,2,860,1
197,136,2,5,525,1
198,136,3,5,350,0
199,137,1,0,171,0
200,137,2,1,227,0
201,137,3,0,143,1
202,138,2,7,821,1
203,138,3,11,534,0
204,139,1,10,605,0
205,139,2,9,531,1
206,139,3,8,172,0
207,140,1,5,745,1
208,140,2,9,345,1
209,140,3,11,265,1
210,141,2,8,512,1
211,141,3,2,0,1
212,142,1,1,449,1
213,142,2,3,245,0
214,142,3,6,466,1
215,143,1,11,738,0
216,143,2,7,871,0
217,143,3,7,322,0
218,144,1,4,1592,1
219,144,2,4,656,1
220,145,1,3,472,1
221,145,2,6,233,0
222,145,3,10,276,0
223,146,1,5,719,1
224,146,2,6,1006,0
225,147,1,7,230,0
226,147,2,10,164,0
227,147,3,10,164,0
228,148,1,8,641,1
229,148,2,10,289,0
230,148,3,6,184,0
231,149,2,3,182,1
232,149,3,4,274,0
233,150,1,4,528,1
234,150,2,5,180,0
235,150,3,3,179,0
236,151,2,7,823,1
237,152,1,8,409,0
238,152,2,2,158,1
239,152,3,5,185,1
240,153,2,1,400,1
241,153,3,2,236,0
242,155,2,0,423,1
243,156,1,1,500,1
244,156,2,2,921,1
245,156,3,6,745,0
246,158,1,7,787,0
247,158,2,7,246,0
248,158,3,11,514,0
249,159,1,6,280,1
250,159,2,4,167,1
251,159,3,3,220,0
252,160,1,0,333,1
253,160,2,8,424,0
254,160,3,3,400,1
255,161,1,1,214,1
256,161,2,1,113,1
257,161,3,2,282,1
258,162,1,2,265,1
259,162,2,3,236,1
260,162,3,4,150,1
261,163,1,5,579,1
262,163,2,7,355,0
263,163,3,2,219,1
264,164,1,4,412,1
265,164,2,2,488,1
266,164,3,6,242,0
267,165,1,9,505,1
268,165,2,5,256,1
269,165,3,11,169,0
270,166,1,1,353,1
271,166,2,5,283,0
272,166,3,4,246,0
273,167,1,5,960,1
274,167,2,9,901,0
275,168,1,8,512,1
276,168,2,9,273,0
277,168,3,6,195,1
278,169,1,0,486,1
279,169,2,2,491,0
280,169,3,6,418,1
281,170,1,11,815,1
282,170,2,9,300,1
283,170,3,10,208,0
284,172,1,10,701,1
285,172,2,7,180,0
286,172,3,1,115,1
287,174,1,9,407,1
288,174,2,7,322,0
289,174,3,9,244,0
290,175,1,7,426,1
291,175,2,9,329,0
292,175,3,9,404,1
293,177,2,10,429,1
294,177,3,6,261,0
295,178,1,5,542,1
296,178,2,4,500,1
297,178,3,8,207,0
298,179,1,11,671,0
299,179,2,11,556,0
300,179,3,8,538,1
301,180,1,7,1050,1
302,180,2,11,383,1
303,180,3,10,383,1
304,181,1,6,508,1
305,181,2,7,426,0
306,181,3,11,356,0
