,TP9,AF7,AF8,TP10,subj,ses,Unnamed: 0,Performance,Time_Sec,Signal Drop
0,0.09899547643480976,0.08525753806039334,0.017861642316983874,-0.08395264180988252,1,1,0.0,2.0,494.0,1.0
2,0.031664564053455205,0.07978522224568708,0.04263704059751592,0.0007640317324708886,2,1,2.0,0.0,347.0,1.0
3,0.0024760042504973385,0.0046664997483869515,-0.002139433113073056,0.004270084090347468,2,3,4.0,10.0,552.0,0.0
4,0.08492564751311657,0.03438176440236641,-0.10159742353091733,-0.040261511075111854,3,2,6.0,7.0,294.0,0.0
5,0.03285063536488652,0.0414513872437301,-0.008640940955583671,-0.01442816470695305,3,3,7.0,7.0,262.0,0.0
6,0.0023708874146267604,0.00019558297666875685,0.0017017920956624917,-0.018508548634897055,5,3,11.0,7.0,303.0,0.0
8,0.006674003359110477,-0.01151048917281884,0.01386843532671064,-0.018642298585267243,6,2,12.0,3.0,428.0,0.0
9,0.030540937789278588,-0.03305821977964131,-0.0036561243756119102,0.025588642639552697,7,3,16.0,0.0,560.0,0.0
10,-0.022155142423744386,-0.01810076236285283,0.07849865636356618,0.05989493155324774,11,3,25.0,7.0,199.0,0.0
11,-0.017838953179062568,-0.026230976206718503,-0.004294971267187703,0.007538110517886066,12,1,26.0,7.0,414.0,1.0
12,0.027580441752599504,0.00748678686001851,0.051453256582004656,0.0041192155484075605,12,2,27.0,10.0,269.0,1.0
13,0.02487624853798769,0.031035602600125153,0.13211618549806506,0.12951591351753203,14,3,33.0,10.0,406.0,0.0
14,0.01031506980070475,0.01532172216562424,0.0014223996131905309,0.003271089837141847,17,1,40.0,6.0,652.0,1.0
15,-0.025934970536479893,-0.08303221124935342,-0.05542726750812589,0.009020263476658828,19,2,47.0,8.0,560.0,0.0
16,-0.005972904548241171,0.016346931755532746,-0.014852650309412572,-0.0007107635298495423,20,2,50.0,1.0,417.0,0.0
17,0.06783871936398807,-0.20903048986643538,-0.09472056830224332,0.03767824084249323,20,3,51.0,1.0,211.0,0.0
18,0.14022324847916853,-0.012049172275481385,0.12241048570271718,0.10794709802478608,21,2,53.0,3.0,266.0,0.0
