,TP9,AF7,AF8,TP10,subj,ses,Unnamed: 0,Performance,Time_Sec,Signal Drop
60,-0.06692101260266865,-0.028557749148977907,-0.014822271743821464,0.01796943557109074,42,1,108.0,4.0,491.0,0.0
62,-0.007767743257173155,0.07709380283170184,-0.056092827562194934,0.08314743002494147,42,3,109.0,7.0,432.0,0.0
63,-0.06726472770771524,-0.0641111490536837,-0.025136219934917936,0.009624315317692714,43,1,110.0,10.0,468.0,0.0
64,-0.013613090559469522,-0.005111269767996498,0.014767957203674699,0.04930734340696033,43,2,111.0,7.0,493.0,1.0
65,0.0026635602663505997,-0.014564464902246992,0.03707831473172937,0.020664769528109046,43,3,112.0,7.0,248.0,0.0
66,-0.01647861841275528,0.001345784117192511,-0.009711321560268363,-0.007462172102212709,45,1,115.0,3.0,402.0,0.0
68,0.008680086982719645,0.14968130961970816,-0.014047459755423973,0.01821582320076467,45,3,116.0,6.0,329.0,0.0
69,0.08088548230462508,-0.01754364390409808,0.22995797969448312,0.004656777107716396,47,2,121.0,2.0,339.0,0.0
70,0.05812800605232444,0.0032458126174993696,-0.012877907204139175,-0.008220429495883995,47,3,122.0,2.0,406.0,0.0
71,-0.045340820003204656,-0.022252646147315387,0.11647371496136084,0.11812345818425271,48,1,123.0,11.0,704.0,1.0
72,0.005943316372097095,-0.0333851943857094,-0.04809779752922639,-0.01894285829398629,48,2,124.0,8.0,333.0,0.0
73,0.02463453624702716,-0.06413578688132238,-0.02812564721321217,-0.0015392304073445291,48,3,125.0,9.0,270.0,0.0
74,0.12980868648162977,0.1512052843611421,0.1203056965787259,0.21028865051761775,49,1,126.0,1.0,240.0,0.0
75,-0.03409750428372811,-0.004291633952348333,-0.01416258108648866,0.014552636402351968,49,2,127.0,6.0,515.0,0.0
76,-0.19188727743289513,0.043205557878201795,-0.03786026947365464,-0.10629477182278418,49,3,128.0,1.0,272.0,1.0
77,-0.03846847927921462,-0.01081348119591739,0.04839590861211215,-0.020797566890757832,50,2,129.0,5.0,288.0,0.0
78,0.0030481460301287947,0.08886366814637872,-0.10162187868121891,-0.054325991830686156,50,3,130.0,3.0,274.0,0.0
79,0.012275743287980196,-0.02406997253842063,-0.0033718004720306167,0.03588513576948698,53,1,137.0,8.0,380.0,0.0
80,0.045283459075216845,-0.1081533598498381,0.033114626232348794,-0.02792230366864043,53,2,138.0,11.0,319.0,0.0
82,-0.016741786150303986,0.08684719652857703,0.04819726572434626,-0.037448256342993376,54,2,140.0,6.0,546.0,1.0
83,0.002100695791689437,-0.12014735726186801,0.015450725894643769,-0.042943267289590165,54,3,141.0,7.0,239.0,0.0
84,-0.047615084837689725,-0.05458903109323718,0.026961774608861483,0.02364713176741169,57,1,146.0,11.0,698.0,0.0
85,0.0010987163899878135,0.15417579589357386,0.5433272384787661,-0.11298938036832896,57,2,147.0,6.0,229.0,0.0
86,-0.002084378835131586,-0.11651051518781252,0.05149369271171612,0.06704909073718383,58,1,149.0,4.0,528.0,0.0
87,0.061227785329570454,-0.040869724373058074,0.024036742904300256,0.04946809518473261,58,2,150.0,3.0,264.0,0.0
89,0.06115905734985262,-0.40761358816046156,-0.04217318060501033,-0.014494925458379973,59,1,151.0,9.0,377.0,1.0
90,0.06115905734985262,-0.40761358816046156,-0.04217318060501033,-0.014494925458379973,59,1,2.0,4.0,528.0,0.0
91,-0.0025382666847281934,-0.002218869936966569,0.02416593139700516,-0.028427795394147623,59,2,3.0,3.0,264.0,0.0
93,-0.032806455708777604,0.01593022161332413,0.021688363763844237,0.009171378744469732,63,2,13.0,5.0,430.0,0.0
94,-0.031686959066886566,-0.12204885647520347,-0.019577728653509995,0.11496780391969107,64,2,15.0,11.0,342.0,1.0
96,0.03234553073506803,0.13951816038204806,0.07637490271354817,-0.028113492490570945,66,2,19.0,11.0,665.0,1.0
97,-0.10999108661810764,0.18930188468409168,0.11196705559890795,-0.05095613628090836,66,3,20.0,9.0,223.0,0.0
98,-0.033307679050756045,0.01277940787532383,-0.010231951309581724,0.022792198640307144,67,1,21.0,11.0,553.0,1.0
99,0.11494442554850937,0.15553836947406197,-0.03447700969822818,-0.06683733769383239,67,2,22.0,11.0,240.0,0.0
100,0.01286759839407429,0.03212401006004338,0.07044451030800968,0.04821452633408516,67,3,23.0,5.0,231.0,0.0
101,0.23287665935842664,-0.03036456402807577,0.02559741378829907,0.13881448916084843,68,3,26.0,7.0,783.0,0.0
102,0.03265101984237477,-0.04529910427648371,0.009280446434601124,0.009738033214797596,70,1,30.0,5.0,561.0,0.0
103,-0.03556581704914256,-0.06635871805265166,-0.0037657566691150493,-0.014309140407883676,71,1,33.0,5.0,362.0,1.0
104,-0.1050613099660973,-0.2635426125345928,-0.14624318035908274,0.09135796128335079,73,2,40.0,7.0,318.0,0.0
105,-0.028008081018665306,-0.060813962250553494,0.014488376371246392,0.04686066016154171,73,3,41.0,7.0,225.0,0.0
106,0.06199637545641138,-0.09473974704677911,-0.07403288997164466,0.025058449469909004,74,1,42.0,2.0,596.0,0.0
107,-0.07003608980069564,-0.022557052830787367,0.06961234244050934,0.0712010195905798,74,2,43.0,3.0,746.0,1.0
108,0.10522837943042956,0.08574520082260458,0.14818062600684295,0.15638210465544436,74,3,44.0,0.0,397.0,0.0
109,0.03633870757607683,0.01129071565214069,-0.033238500179537785,-0.08147612437194188,75,1,45.0,9.0,417.0,0.0
110,-0.033026525809231794,-0.05101561737741485,-0.015500663563352324,-0.019946003667360844,75,3,47.0,10.0,201.0,0.0
111,-0.19477835529190132,-0.14025252892311263,0.12744139435134838,-0.2633786745150683,77,1,50.0,10.0,756.0,1.0
112,-0.022145063993165636,-0.05469491590044302,0.001953214744299892,-0.004775053921049406,77,2,51.0,11.0,591.0,0.0
113,0.13917713213303728,0.05059690776873313,0.10514153557226927,-0.03947320557823049,77,3,52.0,11.0,295.0,1.0
116,-0.009831293798502599,0.01920978294089609,-0.01752731118797645,-0.0369248146108203,80,2,53.0,0.0,242.0,1.0
117,0.033547593267368885,0.011666234804253375,-0.11141123407853286,-0.04367974187434886,81,1,55.0,1.0,721.0,1.0
118,0.005360433364388321,0.02875426304557395,0.13298710059860433,-0.016142903584483347,81,2,56.0,7.0,485.0,0.0
119,-0.04411026776585967,0.1501109991842149,0.13747609636249497,-0.01790880871103211,82,1,58.0,9.0,387.0,1.0
