subj,ses,affecttrust_corr,cognitivetrust_corr
71,3,NaN,0.894427190999916
72,1,1,0.893197737235265
72,2,0.612372435695794,-0.38829013735766
72,3,1,0.0554700196225229
73,1,-0.612372435695795,1
73,2,-0.327326835353989,0.877058019307029
73,3,-0.408248290463863,0.968329663731489
74,1,-0.559016994374947,0.297044262893002
74,2,0,0
74,3,-0.612372435695795,0.557086014531156
75,1,-0.218217890235992,0.857492925712544
75,2,0.327326835353989,0.78086880944303
75,3,0.408248290463863,1
76,1,0.784464540552736,0.0554700196225229
76,2,NaN,0.774596669241483
76,3,0.612372435695795,0.2
77,1,-0.25,0.363803437554499
77,2,0.166666666666667,1
77,3,NaN,1
78,1,0.880704845927979,0
78,2,0.294174202707276,-0.456435464587638
78,3,-0.720576692122892,0
79,1,0.645497224367903,-0.0968548555282574
79,2,-1,0.185695338177052
79,3,0.166666666666667,0
80,1,NaN,NaN
80,2,NaN,NaN
80,3,NaN,NaN
81,1,0.686406472983644,0
81,2,0,0.649519052838329
81,3,NaN,0.420084025208403
82,1,-0.534522483824849,0.661437827766148
82,2,NaN,0.952661023244934
82,3,-0.25,0.925820099772551
83,1,0.645497224367903,-0.685994340570035
83,2,0.790569415042095,-0.269679944985297
83,3,0.645497224367903,0.603022689155527
84,1,0,0.108465228909328
84,2,-0.408248290463863,-0.759256602365297
84,3,0,-0.258198889747161
86,1,0.880704845927979,0.349215147884789
86,2,NaN,0.948683298050514
86,3,NaN,0.603022689155527
87,1,0.592927061281571,0.894427190999916
87,2,NaN,NaN
87,3,NaN,0.341881729378914
88,1,NaN,-0.316227766016838
88,2,0.5,0.468521285665818
88,3,NaN,NaN
89,1,0,0.316227766016838
89,2,NaN,-0.108465228909328
89,3,NaN,-0.430006581783766
90,1,NaN,NaN
90,2,NaN,-0.447213595499958
90,3,NaN,NaN
91,1,-0.25,-0.25
91,2,NaN,0.867721831274625
91,3,0.612372435695795,0
92,1,-0.534522483824849,-0.54232614454664
92,2,NaN,NaN
92,3,NaN,NaN
93,1,-0.534522483824849,0.54232614454664
93,2,-0.25,0.2
93,3,0.25,-0.2
94,1,0.279508497187474,-0.58554004376912
94,2,0.666666666666667,NaN
94,3,NaN,NaN
95,1,-0.327326835353989,-0.321633760451338
95,2,0.918558653543692,0.58554004376912
95,3,1,0.836660026534075
96,1,-0.320256307610174,-0.25
96,2,0.612372435695795,0.2
96,3,0.666666666666667,0.632455532033676
97,1,0.490098029409803,0.755928946018454
97,2,-0.645497224367903,0.697863157798853
97,3,0.408248290463863,0.797724035217466
98,1,-0.218217890235992,0
98,2,0.612372435695795,0.654653670707977
98,3,-0.666666666666667,0.447213595499958
99,1,0.490990253030983,-0.171498585142509
99,2,0.342997170285018,NaN
99,3,-0.408248290463863,-0.447213595499958
100,1,-0.559016994374947,0.373001923296126
100,2,0.0714285714285715,0.920157538397846
100,3,NaN,NaN
101,1,0.408248290463863,0.372104203767625
101,2,-0.102062072615966,-0.126660099276225
101,3,-0.645497224367903,NaN
102,1,-0.395284707521047,NaN
102,2,NaN,NaN
102,3,0.875,NaN
103,1,0.25,0.647058823529412
103,2,NaN,0.632455532033676
103,3,NaN,NaN
104,1,0.784464540552736,0.876459821202215
104,2,NaN,0.185695338177052
104,3,0,-0.632455532033676
105,1,-0.375,NaN
105,2,NaN,0.316227766016838
105,3,NaN,1
106,1,-0.327326835353989,0.175411603861406
106,2,-0.559016994374947,-0.746202507244637
106,3,NaN,0.906103044511344
107,1,0.612372435695795,-0.87831006565368
107,2,-0.25,0.2
107,3,NaN,NaN
108,1,0.408248290463863,1
108,2,-0.408248290463863,0.894427190999916
108,3,NaN,1
109,1,0.356348322549899,0.833309420986427
109,2,-0.583333333333333,0.731272424127131
109,3,0.612372435695794,0.867721831274625
110,1,0.790569415042095,0.447213595499958
110,2,-0.133630620956212,0.316227766016838
110,3,NaN,0.447213595499958
111,1,0,1
111,2,0.666666666666667,0.426401432711221
111,3,1,NaN
112,1,0.243975018237133,0.790569415042095
112,2,0.645497224367903,0.635708491746199
112,3,NaN,0.254823595718813
113,1,0.612372435695795,-0.462910049886276
113,2,NaN,0
113,3,NaN,NaN
114,1,-0.642857142857143,-0.29277002188456
114,2,-0.25,0.349215147884789
114,3,-0.872871560943969,0.552157630374233
115,1,0.166666666666667,0.447213595499958
115,2,0.801783725737273,0
115,3,NaN,NaN
116,1,0.896421457000795,0.925820099772551
116,2,0.534522483824849,0.969861226038888
116,3,-0.133630620956212,0.969861226038888
117,1,0.166666666666667,0.632455532033676
117,2,NaN,1
117,3,NaN,NaN
118,1,-1,-0.0790569415042095
118,2,0,0.656532164298613
118,3,0,0.557086014531156
119,1,0.196116135138184,0
119,2,NaN,0.869626356546304
119,3,0.196116135138184,0.78086880944303
120,1,0.662122191971731,0.836489640836702
120,2,-0.612372435695795,0.922077922077922
120,3,0.645497224367903,0.968329663731489
121,1,0.279508497187474,0.52522573143889
121,2,0.327326835353989,0.91350027839114
121,3,-0.166666666666667,1
122,1,-0.870863572176801,-0.645497224367903
122,2,-0.25,NaN
122,3,-0.52704627669473,NaN
123,1,-0.322748612183951,0.598366073605413
123,2,0.0857492925712544,0.969861226038888
123,3,0.375,0.904534033733291
125,1,0.642857142857143,0.29277002188456
125,2,0.612372435695795,0.21483446221183
125,3,0.666666666666667,0.254823595718813
126,1,0.294174202707276,0.850962943396763
126,2,NaN,0.29277002188456
126,3,NaN,0.872871560943969
127,1,0,0.316227766016838
127,2,NaN,-0.218217890235992
127,3,NaN,NaN
128,1,-0.186338998124982,-0.87831006565368
128,2,0,-0.462910049886276
128,3,-0.408248290463863,NaN
129,1,-0.133630620956212,0.177997663795994
129,2,NaN,0.8
129,3,NaN,0.8
130,1,0.166666666666667,1
130,2,0.612372435695795,0.968329663731489
130,3,NaN,0.968329663731489
131,1,0.784464540552736,0.279145263119541
131,2,-0.25,0.29277002188456
131,3,NaN,NaN
132,1,0.375,-0.632455532033676
132,2,-0.133630620956212,0.522997584627762
132,3,-0.467707173346743,0.943879807448539
133,1,0.534522483824849,0.377964473009227
133,2,-0.133630620956212,0.91826225824265
133,3,NaN,0.822753351207442
134,1,0.645497224367903,0.610170215847752
134,2,NaN,NaN
134,3,NaN,NaN
135,1,-1,0.87831006565368
135,2,-0.166666666666667,NaN
135,3,1,0.316227766016838
136,1,0.372677996249965,0.391076944437521
136,2,0.74535599249993,-0.316227766016838
136,3,0.870388279778489,0.632455532033676
137,1,NaN,NaN
137,2,NaN,NaN
137,3,-0.408248290463863,NaN
138,1,0.549399185367928,0.385164443259822
138,2,0.912870929175277,0.600532564178963
138,3,0.868599036215379,0.581087203147976
139,1,-0.456435464587638,0.787295821622217
139,2,-0.375,0.666666666666667
139,3,NaN,0.56980288229819
140,1,NaN,0.790569415042095
140,2,0.25,-0.4
140,3,-0.408248290463863,-0.233549683248457
141,1,-0.790569415042095,0.632455532033676
141,2,NaN,0.87831006565368
141,3,0.612372435695795,0.87831006565368
142,1,NaN,-0.74535599249993
142,2,NaN,NaN
142,3,NaN,NaN
143,1,NaN,0.925820099772551
143,2,NaN,0.765299033105919
143,3,NaN,0.907959384500452
144,1,-0.514495755427527,-0.29277002188456
144,2,0.166666666666667,-0.0554700196225229
144,3,-0.375,-0.0877058019307029
145,1,-0.133630620956212,0.790569415042095
145,2,NaN,0.695608343640252
145,3,NaN,0.748269893889486
146,1,0.467707173346743,0.242535625036333
146,2,-0.0800640769025435,0.547722557505166
146,3,-0.408248290463863,-0.840168050416806
147,1,-0.583333333333333,1
147,2,NaN,1
147,3,NaN,1
148,1,0.166666666666667,0.87831006565368
148,2,-0.408248290463863,0.866025403784439
148,3,0.166666666666667,NaN
149,1,0,0.276078815187116
149,2,NaN,0.541001780800459
149,3,NaN,0.811502671200689
150,1,0.30012252399939,0.522232967867094
150,2,0.166666666666667,0.930857404257136
150,3,0.327326835353989,0.790569415042095
151,1,0.25,0.316227766016838
151,2,0.333333333333333,NaN
151,3,0.25,NaN
152,1,-0.25,0.943275552432877
152,2,NaN,0.675724628517346
152,3,NaN,0.675724628517346
153,1,NaN,0.943879807448539
153,2,NaN,0.968329663731489
153,3,-0.612372435695795,0.968329663731489
155,1,-0.408248290463863,0.179487179487179
155,2,-0.25,0.61394061351492
155,3,0,0.600532564178963
156,1,0.157242725508288,0.353553390593274
156,2,0,0.94299033358289
156,3,-0.612372435695795,0.863636363636364
158,1,-0.666666666666667,0.968329663731489
158,2,0.408248290463863,0.922077922077922
158,3,NaN,0.943879807448539
159,1,NaN,-0.54232614454664
159,2,NaN,-0.342997170285018
159,3,-0.25,-0.0969762275752854
160,1,-0.228217732293819,-0.29277002188456
160,2,0.939336436627724,0.662266178532522
160,3,0.25,-0.447213595499958
161,1,0.6875,0.29277002188456
161,2,0.0857492925712544,0.968329663731489
161,3,0.918558653543692,0.58131835897618
162,1,NaN,0.5
162,2,0.444444444444444,0.94299033358289
162,3,NaN,0.632455532033676
163,1,0.763762615825973,0.525150493181643
163,2,0.872871560943969,0.58131835897618
163,3,NaN,0.87831006565368
164,1,-0.133630620956212,0.218217890235992
164,2,0.872871560943969,0.2
164,3,-0.880704845927979,0.8
165,1,NaN,0.768273325346536
165,2,NaN,0.774596669241483
165,3,NaN,0.600099198148979
166,1,-0.166666666666667,0.25
166,2,0.408248290463863,0.49301257198088
166,3,-0.534522483824849,0.93256809827409
167,1,-0.748455199183749,-0.558290526239083
167,2,0.196116135138184,-0.789542033951723
167,3,NaN,NaN
168,1,0.52704627669473,0.894427190999916
168,2,0.408248290463863,0.894427190999916
168,3,0.408248290463863,0.91350027839114
169,1,-0.559016994374947,0.462910049886276
169,2,0.327326835353989,0.632455532033676
169,3,NaN,0.836660026534075
170,1,-0.422577127364258,1
170,2,-1,0.893370572567264
170,3,-0.707106781186547,0.968329663731489
172,1,0.128623938856882,0.110431526074847
172,2,-0.534522483824849,0.87831006565368
172,3,-0.408248290463863,0.654653670707977
174,1,0.875,0.632455532033676
174,2,NaN,0.713024095907381
174,3,-0.102062072615966,0.16609095970748
175,1,0.707106781186547,-0.108465228909328
175,2,0.333333333333333,0.790569415042095
175,3,-0.166666666666667,-0.156173761888606
177,1,NaN,0.719676318124642
177,2,NaN,0.970142500145332
177,3,NaN,0.859337848847319
178,1,-0.609937545592833,0.4
178,2,-0.133630620956212,0.25
178,3,-0.408248290463863,0.91350027839114
179,1,0.456435464587638,0.919145030018058
179,2,-0.612372435695795,0.959403223600247
179,3,0.25,0.966987556830456
180,1,NaN,NaN
180,2,0.790569415042095,0.909963754734542
180,3,-0.408248290463863,0.91350027839114
181,1,0.763762615825973,NaN
181,2,NaN,NaN
181,3,NaN,0
