,TP9,AF7,AF8,TP10,subj,ses,Unnamed: 0,Performance,Time_Sec,Signal Drop
0,0.008845750669679924,-0.06782782914495636,-0.06039071935676025,0.018448419239233883,1,1,0.0,2.0,494.0,1.0
2,-0.12063840107316595,0.2730826380259794,0.04608770284948041,-0.11953041755208686,1,3,1.0,3.0,208.0,1.0
3,-0.025786836443363548,-0.044969856821590354,0.033576515154085454,0.08094901957310699,2,1,2.0,0.0,347.0,1.0
4,0.02002305720936032,-0.05765498507899769,-0.11759108405289276,0.05323253045863922,2,3,4.0,10.0,552.0,0.0
5,-0.028521224405586444,-0.03357516605316997,0.029366748678573286,0.011841816479408756,3,2,6.0,7.0,294.0,0.0
6,-0.01401787973645564,0.037111745078669586,-0.03419481372230456,-0.024576102046292226,3,3,7.0,7.0,262.0,0.0
7,0.03653681663915401,0.005959480135792986,0.01349258405921361,-0.04042563266259413,5,3,11.0,7.0,303.0,0.0
9,0.021934574103553133,-0.039753117533820256,0.008815084709677718,0.0082655796179728,6,2,12.0,3.0,428.0,0.0
10,-0.0005630871638663955,0.07933332557989155,0.0037653776494719227,-0.003713259576535782,7,3,16.0,0.0,560.0,0.0
11,-0.06383641374502873,-0.07356730917455874,-0.043455043578002936,-0.02787317695311353,11,3,25.0,7.0,199.0,0.0
12,-0.05934097917052766,0.03182957054963968,-0.007234347913877494,-0.06288392655934792,12,1,26.0,7.0,414.0,1.0
13,-0.04691691137736594,0.05938877856856214,-0.24262397472770916,0.06169336860176979,12,2,27.0,10.0,269.0,1.0
14,0.026436190818470415,0.03309160469109687,-0.09882382285962132,-0.012090800404319884,12,3,28.0,9.0,187.0,0.0
15,0.11192898218260348,0.08375529656713705,-0.003868158689019972,-0.15085218992517235,14,3,33.0,10.0,406.0,0.0
16,0.08119922751844924,-0.045720550959848456,0.04994671565844859,-0.01932273564937748,15,1,34.0,5.0,704.0,1.0
17,0.036670947769107405,-0.043678653689412594,0.0766011427042576,-0.012067816864874757,17,1,40.0,6.0,652.0,1.0
18,-0.00702882934364091,0.037190342713474794,0.012981715214216524,0.007821855364938858,19,2,47.0,8.0,560.0,0.0
19,0.015305765768326703,-0.007077606563240963,-0.0030709016353844465,-0.00683161429164246,20,2,50.0,1.0,417.0,0.0
20,0.024404000957501323,0.06086563466061653,0.19339866850104068,0.10197573917367725,20,3,51.0,1.0,211.0,0.0
21,0.02595862408365485,-0.02627689339664509,-0.016872868430797047,0.02388354360251498,21,2,53.0,3.0,266.0,0.0
22,0.032427508721317014,-0.03462285943294913,0.010598479433275462,0.018269726550747035,23,1,58.0,0.0,366.0,0.0
23,-0.05712806877077478,-0.049339292161621265,0.13845001821910097,-0.0793929325393,23,3,60.0,4.0,700.0,0.0
24,0.016564264516172912,0.019554036628901476,0.00920050364825098,0.023380705036085313,24,3,63.0,7.0,356.0,1.0
25,-0.11403954601033632,-0.030893486041361436,0.007375207782589868,0.02293881490414852,25,1,64.0,7.0,435.0,0.0
27,-0.04382472004284422,-0.27706258798891886,0.05570354303831211,-0.0049808356849687565,27,3,70.0,1.0,0.0,0.0
28,0.069239773266969,-0.03950958104447439,0.0017530893142597766,0.002562314361165482,28,1,71.0,7.0,424.0,0.0
29,-0.01905551417398409,0.08258050597020782,0.07246618392119548,0.00972393680030805,28,2,72.0,5.0,305.0,0.0
30,-0.022122463181248435,-0.11710579513544471,-0.14327593889147858,-0.09130017620247646,28,3,73.0,7.0,274.0,0.0
31,0.0225794615463498,0.07368661858966895,-0.19677895469544596,-0.12202549019890309,29,1,74.0,7.0,510.0,1.0
32,0.013807206268265674,-0.016575158697245056,0.0359561840479494,-0.014760600423426602,29,2,75.0,2.0,349.0,0.0
33,-0.021823756416764668,-0.0317145946842559,-0.03556110732172511,-0.03874169703529312,29,3,76.0,6.0,303.0,0.0
34,0.03701339873416464,-0.13136303609851552,0.016599327275465814,-0.08113514346972978,30,1,77.0,0.0,280.0,0.0
35,-0.035750955791509074,0.043552709612926906,0.0981782545066123,-0.06716140716423015,31,1,80.0,6.0,275.0,0.0
36,-0.04240853938131112,-0.02246497888672928,-0.030198054842532643,0.05068361734396875,31,2,81.0,6.0,265.0,0.0
37,-0.03706059055948243,-0.13677715751737657,-0.07790577137887751,0.01944045474807386,31,3,82.0,5.0,210.0,0.0
39,0.04072303716259914,-0.1824817913982302,-0.08412410783510105,0.04472721867391485,32,2,84.0,5.0,273.0,0.0
